, d, , 
17535, 张芳, 男, 2
17535, 张芳, 男, 2
17535, 张芳, 男, 2
17535, 张芳, 男, 2
17535, 张芳, 男, 2
12148, 周明, 女, 3
12148, 周明, 女, 3
12148, 周明, 女, 3
12148, 周明, 女, 3
12148, 周明, 女, 3
12148, 周明, 女, 3
16935, 陈军, 女, 3
16935, 陈军, 女, 3
16935, 陈军, 女, 3
16935, 陈军, 女, 3
16935, 陈军, 女, 3
16935, 陈军, 女, 3
19954, 王华, 女, 3
19954, 王华, 女, 3
19954, 王华, 女, 3
19954, 王华, 女, 3
19954, 王华, 女, 3
19954, 王华, 女, 3
4131, 徐丽, 女, 3
4624, 吴飞, 女, 3
10842, 杨强, 男, 3
10842, 杨强, 男, 3
10842, 杨强, 男, 3
10842, 杨强, 男, 3
10842, 杨强, 男, 3
10842, 杨强, 男, 3
12507, 赵强, 男, 3
12507, 赵强, 男, 3
12507, 赵强, 男, 3
12507, 赵强, 男, 3
12507, 赵强, 男, 3
12507, 赵强, 男, 3
14119, 胡婷, 男, 3
14119, 胡婷, 男, 3
14119, 胡婷, 男, 3
14119, 胡婷, 男, 3
14119, 胡婷, 男, 3
14119, 胡婷, 男, 3
14161, 朱伟, 男, 3
14161, 朱伟, 男, 3
14161, 朱伟, 男, 3
14161, 朱伟, 男, 3
14161, 朱伟, 男, 3
14161, 朱伟, 男, 3
16527, 李勇, 男, 3
16527, 李勇, 男, 3
16527, 李勇, 男, 3
16527, 李勇, 男, 3
16527, 李勇, 男, 3
16527, 李勇, 男, 3
17372, 王强, 男, 3
17372, 王强, 男, 3
17372, 王强, 男, 3
17372, 王强, 男, 3
17372, 王强, 男, 3
17372, 王强, 男, 3
18864, 朱丽, 男, 3
18864, 朱丽, 男, 3
18864, 朱丽, 男, 3
18864, 朱丽, 男, 3
18864, 朱丽, 男, 3
18864, 朱丽, 男, 3
19176, 李明, 男, 3
19176, 李明, 男, 3
19176, 李明, 男, 3
19176, 李明, 男, 3
19176, 李明, 男, 3
19176, 李明, 男, 3
10041, 李强, 女, 4
10041, 李强, 女, 4
10041, 李强, 女, 4
10041, 李强, 女, 4
10041, 李强, 女, 4
10041, 李强, 女, 4
10149, 张华, 女, 4
10149, 张华, 女, 4
10149, 张华, 女, 4
10149, 张华, 女, 4
10149, 张华, 女, 4
10149, 张华, 女, 4
10943, 胡伟, 女, 4
10943, 胡伟, 女, 4
10943, 胡伟, 女, 4
10943, 胡伟, 女, 4
10943, 胡伟, 女, 4
10943, 胡伟, 女, 4
13663, 高娜, 女, 4
13663, 高娜, 女, 4
13663, 高娜, 女, 4
13663, 高娜, 女, 4
13663, 高娜, 女, 4
13663, 高娜, 女, 4
17388, 孙勇, 女, 4
17388, 孙勇, 女, 4
17388, 孙勇, 女, 4
17388, 孙勇, 女, 4
17388, 孙勇, 女, 4
17388, 孙勇, 女, 4
18723, 胡丽, 女, 4
18723, 胡丽, 女, 4
18723, 胡丽, 女, 4
18723, 胡丽, 女, 4
18723, 胡丽, 女, 4
18723, 胡丽, 女, 4
19109, 吴军, 女, 4
19109, 吴军, 女, 4
19109, 吴军, 女, 4
19109, 吴军, 女, 4
19109, 吴军, 女, 4
19109, 吴军, 女, 4
10125, 李芳, 男, 4
10125, 李芳, 男, 4
10125, 李芳, 男, 4
10125, 李芳, 男, 4
10125, 李芳, 男, 4
10125, 李芳, 男, 4
10467, 黄芳, 男, 4
10467, 黄芳, 男, 4
10467, 黄芳, 男, 4
10467, 黄芳, 男, 4
10467, 黄芳, 男, 4
10467, 黄芳, 男, 4
11124, 陈伟, 男, 4
11124, 陈伟, 男, 4
11124, 陈伟, 男, 4
11124, 陈伟, 男, 4
11124, 陈伟, 男, 4
11124, 陈伟, 男, 4
11186, 杨婷, 男, 4
11186, 杨婷, 男, 4
11186, 杨婷, 男, 4
11186, 杨婷, 男, 4
11186, 杨婷, 男, 4
11186, 杨婷, 男, 4
1240, 胡明, 男, 4
15776, 赵芳, 男, 4
15776, 赵芳, 男, 4
15776, 赵芳, 男, 4
15776, 赵芳, 男, 4
15776, 赵芳, 男, 4
15776, 赵芳, 男, 4
595, 吴婷, 男, 4
645, 胡飞, 男, 4
8813, 周霞, 男, 4
10239, 张丽, 女, 5
10239, 张丽, 女, 5
10239, 张丽, 女, 5
10239, 张丽, 女, 5
10239, 张丽, 女, 5
10239, 张丽, 女, 5
10745, 黄霞, 女, 5
10745, 黄霞, 女, 5
10745, 黄霞, 女, 5
10745, 黄霞, 女, 5
10745, 黄霞, 女, 5
10745, 黄霞, 女, 5
11484, 高明, 女, 5
11484, 高明, 女, 5
11484, 高明, 女, 5
11484, 高明, 女, 5
11484, 高明, 女, 5
11484, 高明, 女, 5
12334, 吴婷, 女, 5
12334, 吴婷, 女, 5
12334, 吴婷, 女, 5
12334, 吴婷, 女, 5
12334, 吴婷, 女, 5
12334, 吴婷, 女, 5
14331, 赵丽, 女, 5
14331, 赵丽, 女, 5
14331, 赵丽, 女, 5
14331, 赵丽, 女, 5
14331, 赵丽, 女, 5
14331, 赵丽, 女, 5
15549, 吴勇, 女, 5
15549, 吴勇, 女, 5
15549, 吴勇, 女, 5
15549, 吴勇, 女, 5
15549, 吴勇, 女, 5
15549, 吴勇, 女, 5
16605, 刘霞, 女, 5
16605, 刘霞, 女, 5
16605, 刘霞, 女, 5
16605, 刘霞, 女, 5
16605, 刘霞, 女, 5
16605, 刘霞, 女, 5
17333, 刘丽, 女, 5
17333, 刘丽, 女, 5
17333, 刘丽, 女, 5
17333, 刘丽, 女, 5
17333, 刘丽, 女, 5
17333, 刘丽, 女, 5
17706, 胡飞, 女, 5
17706, 胡飞, 女, 5
17706, 胡飞, 女, 5
17706, 胡飞, 女, 5
17706, 胡飞, 女, 5
17706, 胡飞, 女, 5
18191, 吴刚, 女, 5
18191, 吴刚, 女, 5
18191, 吴刚, 女, 5
18191, 吴刚, 女, 5
18191, 吴刚, 女, 5
18191, 吴刚, 女, 5
18689, 孙强, 女, 5
18689, 孙强, 女, 5
18689, 孙强, 女, 5
18689, 孙强, 女, 5
18689, 孙强, 女, 5
18689, 孙强, 女, 5
18732, 孙娜, 女, 5
18732, 孙娜, 女, 5
18732, 孙娜, 女, 5
18732, 孙娜, 女, 5
18732, 孙娜, 女, 5
18732, 孙娜, 女, 5
5078, 黄华, 女, 5
10177, 孙勇, 男, 5
10177, 孙勇, 男, 5
10177, 孙勇, 男, 5
10177, 孙勇, 男, 5
10177, 孙勇, 男, 5
10177, 孙勇, 男, 5
10855, 李飞, 男, 5
10855, 李飞, 男, 5
10855, 李飞, 男, 5
10855, 李飞, 男, 5
10855, 李飞, 男, 5
10855, 李飞, 男, 5
13224, 陈华, 男, 5
13224, 陈华, 男, 5
13224, 陈华, 男, 5
13224, 陈华, 男, 5
13224, 陈华, 男, 5
13224, 陈华, 男, 5
13514, 张娜, 男, 5
13514, 张娜, 男, 5
13514, 张娜, 男, 5
13514, 张娜, 男, 5
13514, 张娜, 男, 5
13514, 张娜, 男, 5
14180, 朱伟, 男, 5
14180, 朱伟, 男, 5
14180, 朱伟, 男, 5
14180, 朱伟, 男, 5
14180, 朱伟, 男, 5
14180, 朱伟, 男, 5
14581, 陈芳, 男, 5
14581, 陈芳, 男, 5
14581, 陈芳, 男, 5
14581, 陈芳, 男, 5
14581, 陈芳, 男, 5
14581, 陈芳, 男, 5
14876, 徐军, 男, 5
14876, 徐军, 男, 5
14876, 徐军, 男, 5
14876, 徐军, 男, 5
14876, 徐军, 男, 5
14876, 徐军, 男, 5
15658, 孙勇, 男, 5
15658, 孙勇, 男, 5
15658, 孙勇, 男, 5
15658, 孙勇, 男, 5
15658, 孙勇, 男, 5
15658, 孙勇, 男, 5
17443, 周强, 男, 5
17443, 周强, 男, 5
17443, 周强, 男, 5
17443, 周强, 男, 5
17443, 周强, 男, 5
17443, 周强, 男, 5
19838, 张强, 男, 5
19838, 张强, 男, 5
19838, 张强, 男, 5
19838, 张强, 男, 5
19838, 张强, 男, 5
19838, 张强, 男, 5
19870, 杨勇, 男, 5
19870, 杨勇, 男, 5
19870, 杨勇, 男, 5
19870, 杨勇, 男, 5
19870, 杨勇, 男, 5
19870, 杨勇, 男, 5
9082, 徐华, 男, 5
10247, 张芳, 女, 6
10247, 张芳, 女, 6
10247, 张芳, 女, 6
10247, 张芳, 女, 6
10247, 张芳, 女, 6
10247, 张芳, 女, 6
11594, 张飞, 女, 6
11594, 张飞, 女, 6
11594, 张飞, 女, 6
11594, 张飞, 女, 6
11594, 张飞, 女, 6
11594, 张飞, 女, 6
11599, 高强, 女, 6
11599, 高强, 女, 6
11599, 高强, 女, 6
11599, 高强, 女, 6
11599, 高强, 女, 6
11599, 高强, 女, 6
12781, 胡强, 女, 6
12781, 胡强, 女, 6
12781, 胡强, 女, 6
12781, 胡强, 女, 6
12781, 胡强, 女, 6
12781, 胡强, 女, 6
13294, 周刚, 女, 6
13294, 周刚, 女, 6
13294, 周刚, 女, 6
13294, 周刚, 女, 6
13294, 周刚, 女, 6
13294, 周刚, 女, 6
14412, 吴婷, 女, 6
14412, 吴婷, 女, 6
14412, 吴婷, 女, 6
14412, 吴婷, 女, 6
14412, 吴婷, 女, 6
14412, 吴婷, 女, 6
1482, 黄飞, 女, 6
16870, 黄娜, 女, 6
16870, 黄娜, 女, 6
16870, 黄娜, 女, 6
16870, 黄娜, 女, 6
16870, 黄娜, 女, 6
16870, 黄娜, 女, 6
17108, 杨丽, 女, 6
17108, 杨丽, 女, 6
17108, 杨丽, 女, 6
17108, 杨丽, 女, 6
17108, 杨丽, 女, 6
17108, 杨丽, 女, 6
17221, 胡婷, 女, 6
17221, 胡婷, 女, 6
17221, 胡婷, 女, 6
17221, 胡婷, 女, 6
17221, 胡婷, 女, 6
17221, 胡婷, 女, 6
17236, 朱芳, 女, 6
17236, 朱芳, 女, 6
17236, 朱芳, 女, 6
17236, 朱芳, 女, 6
17236, 朱芳, 女, 6
17236, 朱芳, 女, 6
17391, 王霞, 女, 6
17391, 王霞, 女, 6
17391, 王霞, 女, 6
17391, 王霞, 女, 6
17391, 王霞, 女, 6
17391, 王霞, 女, 6
18015, 李华, 女, 6
18015, 李华, 女, 6
18015, 李华, 女, 6
18015, 李华, 女, 6
18015, 李华, 女, 6
18015, 李华, 女, 6
18784, 陈丽, 女, 6
18784, 陈丽, 女, 6
18784, 陈丽, 女, 6
18784, 陈丽, 女, 6
18784, 陈丽, 女, 6
18784, 陈丽, 女, 6
19659, 王强, 女, 6
19659, 王强, 女, 6
19659, 王强, 女, 6
19659, 王强, 女, 6
19659, 王强, 女, 6
19659, 王强, 女, 6
19712, 张娜, 女, 6
19712, 张娜, 女, 6
19712, 张娜, 女, 6
19712, 张娜, 女, 6
19712, 张娜, 女, 6
19712, 张娜, 女, 6
10412, 杨婷, 男, 6
10412, 杨婷, 男, 6
10412, 杨婷, 男, 6
10412, 杨婷, 男, 6
10412, 杨婷, 男, 6
10412, 杨婷, 男, 6
11307, 孙强, 男, 6
11307, 孙强, 男, 6
11307, 孙强, 男, 6
11307, 孙强, 男, 6
11307, 孙强, 男, 6
11307, 孙强, 男, 6
12245, 黄明, 男, 6
12245, 黄明, 男, 6
12245, 黄明, 男, 6
12245, 黄明, 男, 6
12245, 黄明, 男, 6
12245, 黄明, 男, 6
12278, 赵勇, 男, 6
12278, 赵勇, 男, 6
12278, 赵勇, 男, 6
12278, 赵勇, 男, 6
12278, 赵勇, 男, 6
12278, 赵勇, 男, 6
12484, 黄霞, 男, 6
12484, 黄霞, 男, 6
12484, 黄霞, 男, 6
12484, 黄霞, 男, 6
12484, 黄霞, 男, 6
12484, 黄霞, 男, 6
13640, 徐丽, 男, 6
13640, 徐丽, 男, 6
13640, 徐丽, 男, 6
13640, 徐丽, 男, 6
13640, 徐丽, 男, 6
13640, 徐丽, 男, 6
14149, 徐军, 男, 6
14149, 徐军, 男, 6
14149, 徐军, 男, 6
14149, 徐军, 男, 6
14149, 徐军, 男, 6
14149, 徐军, 男, 6
14482, 朱婷, 男, 6
14482, 朱婷, 男, 6
14482, 朱婷, 男, 6
14482, 朱婷, 男, 6
14482, 朱婷, 男, 6
14482, 朱婷, 男, 6
14488, 周明, 男, 6
14488, 周明, 男, 6
14488, 周明, 男, 6
14488, 周明, 男, 6
14488, 周明, 男, 6
14488, 周明, 男, 6
15535, 李娜, 男, 6
15535, 李娜, 男, 6
15535, 李娜, 男, 6
15535, 李娜, 男, 6
15535, 李娜, 男, 6
15535, 李娜, 男, 6
15747, 陈芳, 男, 6
15747, 陈芳, 男, 6
15747, 陈芳, 男, 6
15747, 陈芳, 男, 6
15747, 陈芳, 男, 6
15747, 陈芳, 男, 6
15973, 胡勇, 男, 6
15973, 胡勇, 男, 6
15973, 胡勇, 男, 6
15973, 胡勇, 男, 6
15973, 胡勇, 男, 6
15973, 胡勇, 男, 6
16442, 杨婷, 男, 6
16442, 杨婷, 男, 6
16442, 杨婷, 男, 6
16442, 杨婷, 男, 6
16442, 杨婷, 男, 6
16442, 杨婷, 男, 6
17475, 陈强, 男, 6
17475, 陈强, 男, 6
17475, 陈强, 男, 6
17475, 陈强, 男, 6
17475, 陈强, 男, 6
17475, 陈强, 男, 6
17657, 李婷, 男, 6
17657, 李婷, 男, 6
17657, 李婷, 男, 6
17657, 李婷, 男, 6
17657, 李婷, 男, 6
17657, 李婷, 男, 6
18372, 杨勇, 男, 6
18372, 杨勇, 男, 6
18372, 杨勇, 男, 6
18372, 杨勇, 男, 6
18372, 杨勇, 男, 6
18372, 杨勇, 男, 6
8658, 孙婷, 男, 6
9461, 黄霞, 男, 6
10150, 朱勇, 女, 7
10150, 朱勇, 女, 7
10150, 朱勇, 女, 7
10150, 朱勇, 女, 7
10150, 朱勇, 女, 7
10150, 朱勇, 女, 7
11618, 孙军, 女, 7
11618, 孙军, 女, 7
11618, 孙军, 女, 7
11618, 孙军, 女, 7
11618, 孙军, 女, 7
11618, 孙军, 女, 7
12384, 李丽, 女, 7
12384, 李丽, 女, 7
12384, 李丽, 女, 7
12384, 李丽, 女, 7
12384, 李丽, 女, 7
12384, 李丽, 女, 7
13268, 胡婷, 女, 7
13268, 胡婷, 女, 7
13268, 胡婷, 女, 7
13268, 胡婷, 女, 7
13268, 胡婷, 女, 7
13268, 胡婷, 女, 7
13329, 赵华, 女, 7
13329, 赵华, 女, 7
13329, 赵华, 女, 7
13329, 赵华, 女, 7
13329, 赵华, 女, 7
13329, 赵华, 女, 7
13532, 王强, 女, 7
13532, 王强, 女, 7
13532, 王强, 女, 7
13532, 王强, 女, 7
13532, 王强, 女, 7
13532, 王强, 女, 7
13893, 陈丽, 女, 7
13893, 陈丽, 女, 7
13893, 陈丽, 女, 7
13893, 陈丽, 女, 7
13893, 陈丽, 女, 7
13893, 陈丽, 女, 7
15820, 孙娜, 女, 7
15820, 孙娜, 女, 7
15820, 孙娜, 女, 7
15820, 孙娜, 女, 7
15820, 孙娜, 女, 7
15820, 孙娜, 女, 7
18718, 赵芳, 女, 7
18718, 赵芳, 女, 7
18718, 赵芳, 女, 7
18718, 赵芳, 女, 7
18718, 赵芳, 女, 7
19772, 吴娜, 女, 7
19772, 吴娜, 女, 7
19772, 吴娜, 女, 7
19772, 吴娜, 女, 7
19772, 吴娜, 女, 7
19772, 吴娜, 女, 7
19793, 吴婷, 女, 7
19793, 吴婷, 女, 7
19793, 吴婷, 女, 7
19793, 吴婷, 女, 7
19793, 吴婷, 女, 7
19793, 吴婷, 女, 7
11535, 徐霞, 男, 7
11535, 徐霞, 男, 7
11535, 徐霞, 男, 7
11535, 徐霞, 男, 7
11535, 徐霞, 男, 7
11535, 徐霞, 男, 7
1423, 徐花, 男, 7
15425, 黄明, 男, 7
15425, 黄明, 男, 7
15425, 黄明, 男, 7
15425, 黄明, 男, 7
15425, 黄明, 男, 7
15425, 黄明, 男, 7
1678, 吴飞, 男, 7
19098, 王伟, 男, 7
